id,Píxeles Totales,Píxeles Cambio,pix_nochg,% Cambio,Categoría,Distrito
71,233930,174106,59824,74.43,Muy Alto,Alexander Von Humboldt
194,27901,19725,8176,70.7,Muy Alto,Shanao
73,709020,500129,208891,70.54,Muy Alto,Neshuya
193,146917,95686,51231,65.13,Muy Alto,Lamas
68,58972,37191,21781,63.07,Muy Alto,Alberto Leveau
244,1503935,897301,606634,59.66,Muy Alto,Campoverde
183,352143,208024,144119,59.07,Muy Alto,Buenos Aires
197,335241,194816,140425,58.11,Muy Alto,Alonso De Alvarado
57,204051,117822,86229,57.74,Muy Alto,Piscoyacu
60,444346,255798,188548,57.57,Muy Alto,Shamboyacu
50,292223,167166,125057,57.2,Muy Alto,Huallaga
49,515197,291451,223746,56.57,Muy Alto,Pajarillo
119,77967,43346,34621,55.6,Muy Alto,Pilluana
205,436869,242195,194674,55.44,Muy Alto,Jepelacio
189,206858,112762,94096,54.51,Muy Alto,Cuñumbuqui
78,37992,20554,17438,54.1,Muy Alto,Rumisapa
34,114615,61904,52711,54.01,Muy Alto,Sauce
116,48938,26307,22631,53.76,Muy Alto,Milpuc
52,183740,98631,85109,53.68,Muy Alto,Sacanche
61,379893,201295,178598,52.99,Muy Alto,Tingo De Ponasa
182,282602,146478,136124,51.83,Muy Alto,Santa Rosa
38,1076982,550985,525997,51.16,Muy Alto,Honoria
51,1269186,643725,625461,50.72,Muy Alto,Bajo Biavo
181,419316,210510,208806,50.2,Muy Alto,Tres Unidos
196,409936,205190,204746,50.05,Muy Alto,Tabalosos
39,1977047,970505,1006542,49.09,Muy Alto,Tournavista
62,246335,119887,126448,48.67,Muy Alto,Picota
56,141590,68504,73086,48.38,Muy Alto,El Eslabon
245,750642,359920,390722,47.95,Muy Alto,Yarinacocha
188,269288,127333,141955,47.29,Muy Alto,Shapaja
180,394100,184857,209243,46.91,Muy Alto,San Pablo
179,230461,106704,123757,46.3,Muy Alto,Pucacaca
238,508439,234552,273887,46.13,Muy Alto,Juanjui
41,2349650,1083056,1266594,46.09,Muy Alto,Yuyapichis
220,119465,54075,65390,45.26,Muy Alto,Castillo Grande
184,173255,78380,94875,45.24,Muy Alto,Agua Blanca
107,671438,302689,368749,45.08,Muy Alto,Huipoca
15,22309,9933,12376,44.52,Muy Alto,Totora
55,34652,15267,19385,44.06,Muy Alto,San Cristobal
88,36309,15994,20315,44.05,Muy Alto,Churuja
76,349155,153559,195596,43.98,Muy Alto,San Jose De Sisa
154,251386,109723,141663,43.65,Muy Alto,Florida
192,588430,256710,331720,43.63,Muy Alto,San Martin
81,79733,34613,45120,43.41,Muy Alto,Yantalo
187,70758,30693,40065,43.38,Muy Alto,Shatoja
130,80099,34725,45374,43.35,Muy Alto,Cheto
230,2518660,1088477,1430183,43.22,Muy Alto,Yurimaguas
274,401831,173188,228643,43.1,Muy Alto,San Ignacio
186,197838,84737,113101,42.83,Muy Alto,Zapatero
86,568865,242875,325990,42.69,Muy Alto,San Jose Del Alto
99,594851,250886,343965,42.18,Muy Alto,Saposoa
185,218067,91168,126899,41.81,Muy Alto,Juan Guerra
204,93049,38800,54249,41.7,Muy Alto,Yorongos
225,559508,233246,326262,41.69,Muy Alto,Rio Negro
75,2335184,964159,1371025,41.29,Muy Alto,Nueva Requena
84,573322,234965,338357,40.98,Muy Alto,Awajun
72,2131979,870740,1261239,40.84,Alto,Irazola
115,140726,57080,83646,40.56,Alto,La Jalca
203,553548,223905,329643,40.45,Alto,El Porvenir
58,118744,47519,71225,40.02,Alto,San Hilarion
80,60252,24106,36146,40.01,Alto,Posic
53,53693,21079,32614,39.26,Alto,Tingo De Saposoa
30,2715876,1065559,1650317,39.23,Alto,Puerto Inca
143,160342,62492,97850,38.97,Alto,Chiliquin
237,659075,255600,403475,38.78,Alto,Soritor
59,294028,113950,180078,38.75,Alto,Bellavista
87,521791,202075,319716,38.73,Alto,Chontali
37,127998,49298,78700,38.51,Alto,Luyando
148,86069,32841,53228,38.16,Alto,Jazan
147,39892,15151,24741,37.98,Alto,Asuncion
145,77576,29401,48175,37.9,Alto,Luya Viejo
217,298195,111487,186708,37.39,Alto,Rupa-Rupa
275,712871,265052,447819,37.18,Alto,Namballe
151,109406,40667,68739,37.17,Alto,Cuispes
124,122539,45503,77036,37.13,Alto,San Isidro De Maino
111,89079,32586,56493,36.58,Alto,San Antonio
77,59830,21808,38022,36.45,Alto,Cacatachi
14,112218,40901,71317,36.45,Alto,Coviriali
40,221006,80441,140565,36.4,Alto,San Luis De Shuaro
223,934266,339874,594392,36.38,Alto,Satipo
121,153609,54831,98778,35.7,Alto,Magdalena
79,131637,46824,84813,35.57,Alto,Calzada
126,23172,8131,15041,35.09,Alto,Santa Rosa
201,1193279,418397,774882,35.06,Alto,Barranquita
239,236785,82939,153846,35.03,Alto,Rioja
32,86482,30282,56200,35.02,Alto,Caspisapa
3,190329,66565,123764,34.97,Alto,Maranura
139,93879,32784,61095,34.92,Alto,Quinjalca
207,93818,32751,61067,34.91,Alto,Huabal
74,2130686,742215,1388471,34.83,Alto,Curimana
149,32037,11140,20897,34.77,Alto,Recta
112,139737,48503,91234,34.71,Alto,Montevideo
18,384895,133426,251469,34.67,Alto,Molinopampa
129,85323,28993,56330,33.98,Alto,Soloco
100,675194,227316,447878,33.67,Alto,San Pablo De Pillao
114,174521,58674,115847,33.62,Alto,Chirimoto
106,326199,108921,217278,33.39,Alto,Hermilio Valdizan
127,85460,28442,57018,33.28,Alto,Levanto
89,235689,78247,157442,33.2,Alto,San Jeronimo
125,254737,84445,170292,33.15,Alto,Omia
31,3661258,1210564,2450694,33.06,Alto,Codo Del Pozuzo
110,89574,29598,59976,33.04,Alto,Mariscal Castilla
236,3042039,1004570,2037469,33.02,Alto,Moyobamba
152,142183,46758,95425,32.89,Alto,Shipasbamba
142,88735,28833,59902,32.49,Alto,Valera
214,871149,282326,588823,32.41,Alto,Tabaconas
131,132625,42257,90368,31.86,Alto,Inguilpata
228,735637,234301,501336,31.85,Alto,Belen
240,191857,60744,131113,31.66,Alto,Elias Soplin Vargas
202,633053,199733,433320,31.55,Alto,Pinto Recodo
222,1361161,425595,935566,31.27,Alto,Pichanaqui
91,867379,268230,599149,30.92,Alto,Aramango
123,93588,28662,64926,30.63,Medio,Longar
234,414693,126612,288081,30.53,Medio,Iquitos
213,1141914,347168,794746,30.4,Medio,Tocache
215,439465,133124,306341,30.29,Medio,Santa Ana
6,310259,93753,216506,30.22,Medio,Canayre
46,936488,282485,654003,30.16,Medio,Nuevo Progreso
104,365872,109547,256325,29.94,Medio,Pueblo Nuevo
221,1650464,493771,1156693,29.92,Medio,Perene
120,88220,26181,62039,29.68,Medio,Huambo
17,187035,54043,132992,28.89,Medio,Ocalli
209,173650,50087,123563,28.84,Medio,Chachapoyas
277,1024525,293344,731181,28.63,Medio,Huarango
90,121131,34543,86588,28.52,Medio,Olleros
118,694890,196511,498379,28.28,Medio,Limabamba
199,1434334,401171,1033163,27.97,Medio,Caynarachi
23,698276,191815,506461,27.47,Medio,Vizcatán Del Ene
155,72919,19844,53075,27.21,Medio,Corosha
44,681350,183464,497886,26.93,Medio,Uchiza
83,79097,21247,57850,26.86,Medio,San Fernando
25,45500,12209,33291,26.83,Medio,Union Progreso
157,903287,241343,661944,26.72,Medio,Capelo
212,57964,15389,42575,26.55,Medio,Morales
224,1440442,381529,1058913,26.49,Medio,Mazamari
144,186531,49177,137354,26.36,Medio,Santa Catalina
128,205140,54041,151099,26.34,Medio,Cochamal
122,116128,30409,85719,26.19,Medio,San Nicolas
117,97096,25178,71918,25.93,Medio,San Juan De Lopecancha
172,1489698,385306,1104392,25.86,Medio,Teniente Cesar Lopez Rojas
243,302456,76210,226246,25.2,Medio,La Banda De Shilcayo
113,78377,19744,58633,25.19,Medio,Habana
219,847872,209397,638475,24.7,Medio,Mariano Damaso Beraun
134,79425,19495,59930,24.55,Medio,Lonya Chico
7,5571038,1349244,4221794,24.22,Medio,Inambari
16,16266,3917,12349,24.08,Medio,Trita
140,40803,9795,31008,24.01,Medio,San Cristobal
29,353320,84768,268552,23.99,Medio,Union Ashaninka
45,305838,73251,232587,23.95,Medio,Santa Lucia
8,1753612,416332,1337280,23.74,Medio,Huepetuhe
153,183133,43060,140073,23.51,Medio,Chisquilla
241,377989,88736,289253,23.48,Medio,Nueva Cajamarca
82,70967,16620,54347,23.42,Medio,Yuracyacu
43,2758212,643999,2114213,23.35,Medio,Padre Marquez
4,2207594,508260,1699334,23.02,Medio,Quellouno
150,180343,41469,138874,22.99,Medio,Jumbilla
28,164812,37890,126922,22.99,Medio,Manitea
133,229377,52702,176675,22.98,Medio,Mariscal Benavides
67,3175328,728345,2446983,22.94,Medio,Palcazu
105,319872,72040,247832,22.52,Medio,Santo Domingo De Anda
108,624988,138095,486893,22.1,Medio,Boqueron
35,1208801,265217,943584,21.94,Medio,Chaglla
216,583338,127953,455385,21.93,Medio,Pichari
27,118237,25840,92397,21.85,Medio,Cielo Punco
132,46192,10039,36153,21.73,Medio,San Francisco De Daguas
64,940178,204113,736065,21.71,Medio,Villa Rica
19,136151,29120,107031,21.39,Medio,Sonche
218,1707524,361710,1345814,21.18,Medio,Jose Crespo Y Castillo
272,234235,49364,184871,21.07,Bajo,San Juan Del Oro
146,127747,26645,101102,20.86,Bajo,San Carlos
47,2529083,522703,2006380,20.67,Bajo,Polvora
211,1926165,394880,1531285,20.5,Bajo,Cajaruro
191,1556322,318394,1237928,20.46,Bajo,Alto Saposoa
208,73494,14922,58572,20.3,Bajo,Las Pirias
137,281355,56729,224626,20.16,Bajo,Conila
102,1030440,206774,823666,20.07,Bajo,La Morada
210,4702678,943654,3759024,20.07,Bajo,Nieva
36,615852,123508,492344,20.05,Bajo,Daniel Alomia Robles
276,1529481,305293,1224188,19.96,Bajo,San Jose de Lourdes
141,193826,38388,155438,19.81,Bajo,Granada
63,460603,85173,375430,18.49,Bajo,Oxapampa
246,732277,134996,597281,18.44,Bajo,Manantay
0,1569296,286317,1282979,18.24,Bajo,Alto Inambari
242,66975,12029,54946,17.96,Bajo,Tarapoto
66,3473308,617082,2856226,17.77,Bajo,Constitucion
70,8371903,1474149,6897754,17.61,Bajo,Iparia
48,2046898,360337,1686561,17.6,Bajo,Campanilla
273,729628,126902,602726,17.39,Bajo,Yanahuaya
13,2953466,505023,2448443,17.1,Bajo,Iberia
248,4056495,682470,3374025,16.82,Bajo,Padre Abad
85,1314939,216465,1098474,16.46,Bajo,Pardo Miguel
10,3077704,502101,2575603,16.31,Bajo,Laberinto
101,865873,140983,724890,16.28,Bajo,Pucayacu
168,3382127,547390,2834737,16.18,Bajo,Balsapuerto
136,52732,8495,44237,16.11,Bajo,Huancas
20,972296,156572,815724,16.1,Bajo,Vista Alegre
93,2144765,342238,1802527,15.96,Bajo,Vargas Guerra
135,94498,14951,79547,15.82,Bajo,Luya
22,229881,36181,193700,15.74,Bajo,Villa Kintiarina
164,5129885,776099,4353786,15.13,Bajo,Fernando Lores
229,3598026,543406,3054620,15.1,Bajo,San Juan Bautista
198,348248,52042,296206,14.94,Bajo,Chipurana
227,1800394,267874,1532520,14.88,Bajo,Punchana
232,3460804,511423,2949381,14.78,Bajo,Requena
138,83198,12077,71121,14.52,Bajo,Lamud
231,7599474,1078993,6520481,14.2,Bajo,Nauta
156,1892466,266970,1625496,14.11,Bajo,Yambrasbamba
195,1935350,270827,1664523,13.99,Bajo,Huimbayoc
5,623183,86398,536785,13.86,Bajo,Kimbiri
190,1075598,147447,928151,13.71,Bajo,Chazuta
65,816405,110501,705904,13.54,Bajo,Pozuzo
98,2034611,269576,1765035,13.25,Bajo,Pachiza
178,1306735,171833,1134902,13.15,Bajo,Jenaro Herrera
21,8531165,1111565,7419600,13.03,Bajo,Echarate
42,712579,92835,619744,13.03,Bajo,Inahuaya
92,7041744,890073,6151671,12.64,Bajo,Sarayacu
176,5706633,720356,4986277,12.62,Bajo,San Pablo
170,6814311,811333,6002978,11.91,Bajo,Lagunas
158,5230506,611753,4618753,11.7,Bajo,Emilio San Martin
69,8722795,1000270,7722525,11.47,Bajo,Tahuania
174,17707928,2004379,15703549,11.32,Bajo,Urarinas
249,5155680,576917,4578763,11.19,Bajo,Imaza
11,9003627,1004362,7999265,11.16,Bajo,Madre De Dios
1,499962,55095,444867,11.02,Bajo,Villa Virgen
159,5520779,606702,4914077,10.99,Muy Bajo,Maquia
235,8739801,945013,7794788,10.81,Muy Bajo,Puerto Bermudez
160,7074533,762791,6311742,10.78,Muy Bajo,Puinahua
95,5382292,578800,4803492,10.75,Muy Bajo,Cahuapanas
206,736828,79092,657736,10.73,Muy Bajo,San Roque De Cumbaza
269,3986543,424581,3561962,10.65,Muy Bajo,Tahuamanu
200,1119018,119135,999883,10.65,Muy Bajo,Papaplaya
262,7720031,801744,6918287,10.39,Muy Bajo,Ramon Castilla
171,2557881,262445,2295436,10.26,Muy Bajo,Santa Cruz
33,6735408,673343,6062065,10.0,Muy Bajo,Alto Biavo
226,11672215,1140917,10531298,9.77,Muy Bajo,Rio Tambo
97,10223952,974758,9249194,9.53,Muy Bajo,Pastaza
233,12442664,1177044,11265620,9.46,Muy Bajo,Contamana
24,250743,23466,227277,9.36,Muy Bajo,Huachocolpa
54,122146,11020,111126,9.02,Muy Bajo,San Rafael
96,4009420,356527,3652893,8.89,Muy Bajo,Manseriche
26,3374223,285657,3088566,8.47,Muy Bajo,Kumpirushiato
270,8879835,747646,8132189,8.42,Muy Bajo,Las Piedras
161,2918212,245419,2672793,8.41,Muy Bajo,Saquena
169,4889670,407586,4482084,8.34,Muy Bajo,Jeberos
165,3779932,292283,3487649,7.73,Muy Bajo,Indiana
266,13175782,1012312,12163470,7.68,Muy Bajo,Calleria
94,8311313,620403,7690910,7.46,Muy Bajo,Barranca
267,16665915,1217492,15448423,7.31,Muy Bajo,Masisea
109,8441524,616673,7824851,7.31,Muy Bajo,Pampa Hermosa
271,6375119,459595,5915524,7.21,Muy Bajo,San Pedro De Putina Punco
247,16556117,1174220,15381897,7.09,Muy Bajo,Raimondi
257,7757665,523077,7234588,6.74,Muy Bajo,Torres Causana
251,9057825,594448,8463377,6.56,Muy Bajo,Rio Santiago
166,7541610,493018,7048592,6.54,Muy Bajo,Las Amazonas
250,6296634,394168,5902466,6.26,Muy Bajo,El Cenepa
175,12597925,736320,11861605,5.84,Muy Bajo,Pebas
253,13215808,743377,12472431,5.62,Muy Bajo,Andoas
9,9897981,535360,9362621,5.41,Muy Bajo,Manu
173,14859379,785473,14073906,5.29,Muy Bajo,Parinari
278,23718257,1012422,22705835,4.27,Muy Bajo,Tambopata
167,11276635,459310,10817325,4.07,Muy Bajo,Mazan
256,27090150,1091706,25998444,4.03,Muy Bajo,Napo
263,16100291,599245,15501046,3.72,Muy Bajo,Yavari
177,2358367,85929,2272438,3.64,Muy Bajo,Tapiche
252,12372711,441242,11931469,3.57,Muy Bajo,Morona
2,12241310,433466,11807844,3.54,Muy Bajo,Megantoni
103,8821731,310821,8510910,3.52,Muy Bajo,Sepahua
255,22570823,786469,21784354,3.48,Muy Bajo,Tigre
258,10771629,325400,10446229,3.02,Muy Bajo,Teniente Manuel Clavero
12,12197148,359867,11837281,2.95,Muy Bajo,Fitzcarrald
254,14100746,389744,13711002,2.76,Muy Bajo,Trompeteros
265,10224966,264901,9960065,2.59,Muy Bajo,Alto Tapiche
279,15692363,337032,15355331,2.15,Muy Bajo,Iñapari
162,5295443,104432,5191011,1.97,Muy Bajo,Soplin
260,12384060,209088,12174972,1.69,Muy Bajo,Putumayo
259,8030096,102002,7928094,1.27,Muy Bajo,Rosa Panduro
280,20947113,260498,20686615,1.24,Muy Bajo,Purus
264,12429561,140390,12289171,1.13,Muy Bajo,Yaquerana
261,20139715,202035,19937680,1.0,Muy Bajo,Yaguas
268,10253497,101113,10152384,0.99,Muy Bajo,Yurua
163,16331685,158702,16172983,0.97,Muy Bajo,Alto Nanay
